임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
1,임신 초기,4~9주,임신 주차,4,5,주,검사·진료,임신 확인,,검사·진료,실행,산모,임신 확인 진료 예약,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,임신 확인 진료 예약,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
2,임신 초기,4~9주,임신 주차,4,5,주,검사·진료,임신 확인,,검사·진료,실행,산모,초음파로 임신 위치와 주수 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,초음파로 임신 위치와 주수 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
3,임신 초기,4~9주,임신 주차,4,5,주,검사·진료,임신 확인,,검사·진료,실행,산모,첫 방문 기본 혈액·소변검사 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,첫 방문 기본 혈액·소변검사 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
4,임신 초기,4~9주,임신 주차,4,5,주,행정·지원 혜택,임신 중 지원,,할 일,신청·예약,부부,임신확인서 발급 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,임신확인서 발급 방법 확인,,편집 검토 필요,초안,,,
5,임신 초기,4~9주,임신 주차,4,5,주,행정·지원 혜택,임신 중 지원,,할 일,신청·예약,부부,국민행복카드와 임신·출산 진료비 지원 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,국민행복카드와 임신·출산 진료비 지원 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
6,임신 초기,4~9주,임신 주차,4,5,주,행정·지원 혜택,임신 중 지원,,할 일,신청·예약,부부,거주 지역 임산부 지원사업 찾아보기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,거주 지역 임산부 지원사업 찾아보기,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
7,임신 초기,4~9주,임신 주차,4,5,주,임신 생활·영양·운동,영양제,,가이드,알아보기,부부,엽산과 복용 중인 영양제 의료진에게 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,엽산과 복용 중인 영양제 의료진에게 확인,,편집 검토 필요,초안,,,
8,임신 초기,4~9주,임신 주차,4,5,주,임신 생활·영양·운동,영양제,,가이드,알아보기,부부,임신 중 복용약·건강기능식품 목록 정리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,임신 중 복용약·건강기능식품 목록 정리,,편집 검토 필요,초안,,,
9,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,월경 지연과 피로,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,월경 지연과 피로,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
10,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,유방 변화와 메스꺼움,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,유방 변화와 메스꺼움,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
11,임신 초기,4~9주,임신 주차,4,5,주,산모 건강·회복,임신 초기 변화,,증상·변화,알아보기,산모,속쓰림·변비,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,이 시기에 경험할 수 있는 변화로 개인차가 있어요.,양상과 지속 시간을 관찰하고 불편이 크면 의료진과 상의하세요.,권장,아니오,공통,속쓰림·변비,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
